Timestamp,PIT502,Normal/Attack
28/12/2015 10:00:00 AM,1.649953,Normal
28/12/2015 10:01:00 AM,1.649953,Normal
28/12/2015 10:02:00 AM,1.665972,Normal
28/12/2015 10:03:00 AM,1.681991,Normal
28/12/2015 10:04:00 AM,1.746067,Normal
28/12/2015 10:05:00 AM,1.681991,Normal
28/12/2015 10:06:00 AM,1.617916,Normal
28/12/2015 10:07:00 AM,1.617916,Normal
28/12/2015 10:08:00 AM,1.69801,Normal
28/12/2015 10:09:00 AM,1.746067,Normal
28/12/2015 10:10:00 AM,1.649953,Normal
28/12/2015 10:11:00 AM,1.746067,Normal
28/12/2015 10:12:00 AM,1.730048,Normal
28/12/2015 10:13:00 AM,1.649953,Normal
28/12/2015 10:14:00 AM,1.730048,Normal
28/12/2015 10:15:00 AM,1.681991,Normal
28/12/2015 10:16:00 AM,1.69801,Normal
28/12/2015 10:17:00 AM,1.665972,Normal
28/12/2015 10:18:00 AM,1.69801,Normal
28/12/2015 10:19:00 AM,1.69801,Normal
28/12/2015 10:20:00 AM,1.69801,Normal
28/12/2015 10:21:00 AM,1.69801,Normal
28/12/2015 10:22:00 AM,1.617916,Normal
28/12/2015 10:23:00 AM,1.762086,Normal
28/12/2015 10:24:00 AM,1.649953,Normal
28/12/2015 10:25:00 AM,1.665972,Normal
28/12/2015 10:26:00 AM,1.649953,Normal
28/12/2015 10:27:00 AM,1.665972,Normal
28/12/2015 10:28:00 AM,1.601897,Normal
28/12/2015 10:29:00 AM,1.681991,Normal
28/12/2015 10:45:40 AM,1.762086,Normal
28/12/2015 10:46:40 AM,1.746067,Normal
28/12/2015 10:47:40 AM,1.730048,Normal
28/12/2015 10:48:40 AM,1.762086,Normal
28/12/2015 10:49:40 AM,1.585878,Normal
28/12/2015 10:50:40 AM,1.601897,Normal
28/12/2015 10:59:03 AM,1.730048,Normal
28/12/2015 11:00:03 AM,1.681991,Normal
28/12/2015 11:01:03 AM,1.681991,Normal
28/12/2015 11:02:03 AM,1.69801,Normal
28/12/2015 11:03:03 AM,1.681991,Normal
28/12/2015 11:04:03 AM,1.681991,Normal
28/12/2015 11:05:03 AM,1.810143,Normal
28/12/2015 11:06:03 AM,1.762086,Normal
28/12/2015 11:07:03 AM,1.69801,Normal
28/12/2015 11:08:03 AM,1.69801,Normal
28/12/2015 11:09:03 AM,1.730048,Normal
28/12/2015 11:10:03 AM,1.730048,Normal
28/12/2015 11:11:03 AM,1.778105,Normal
28/12/2015 11:12:03 AM,1.649953,Normal
28/12/2015 11:13:03 AM,1.681991,Normal
28/12/2015 11:14:03 AM,1.762086,Normal
28/12/2015 11:15:03 AM,1.778105,Normal
28/12/2015 11:16:03 AM,1.681991,Normal
28/12/2015 11:17:03 AM,1.746067,Normal
28/12/2015 11:18:03 AM,1.730048,Normal
28/12/2015 11:19:03 AM,1.746067,Normal
28/12/2015 11:20:03 AM,1.746067,Normal
28/12/2015 11:21:03 AM,1.649953,Normal
28/12/2015 11:28:26 AM,1.762086,Normal
28/12/2015 11:29:26 AM,1.730048,Normal
28/12/2015 11:30:26 AM,1.69801,Normal
28/12/2015 11:31:26 AM,1.681991,Normal
28/12/2015 11:32:26 AM,1.730048,Normal
28/12/2015 11:33:26 AM,1.730048,Normal
28/12/2015 11:34:26 AM,1.746067,Normal
28/12/2015 11:35:26 AM,1.730048,Normal
28/12/2015 11:36:26 AM,1.665972,Normal
28/12/2015 11:37:26 AM,1.778105,Normal
28/12/2015 11:38:26 AM,1.601897,Normal
28/12/2015 11:39:26 AM,1.681991,Normal
28/12/2015 11:40:26 AM,1.617916,Normal
28/12/2015 11:41:26 AM,1.665972,Normal
28/12/2015 11:42:26 AM,1.649953,Normal
28/12/2015 11:43:26 AM,1.69801,Normal
28/12/2015 11:44:26 AM,1.746067,Normal
28/12/2015 11:45:26 AM,1.762086,Normal
28/12/2015 11:46:26 AM,1.762086,Normal
28/12/2015 11:47:26 AM,1.665972,Normal
28/12/2015 11:54:56 AM,1.69801,Normal
28/12/2015 11:55:56 AM,1.762086,Normal
28/12/2015 11:56:56 AM,1.69801,Normal
28/12/2015 11:57:56 AM,1.69801,Normal
28/12/2015 11:58:56 AM,1.762086,Normal
28/12/2015 11:59:56 AM,1.730048,Normal
28/12/2015 12:04:12 PM,1.746067,Normal
28/12/2015 12:05:12 PM,1.810143,Normal
28/12/2015 12:06:12 PM,1.730048,Normal
28/12/2015 12:07:12 PM,1.730048,Normal
28/12/2015 12:08:12 PM,1.746067,Normal
28/12/2015 12:16:21 PM,1.730048,Normal
28/12/2015 12:17:21 PM,1.649953,Normal
28/12/2015 12:18:21 PM,1.69801,Normal
28/12/2015 12:19:21 PM,1.810143,Normal
28/12/2015 12:20:21 PM,1.746067,Normal
28/12/2015 12:21:21 PM,1.746067,Normal
28/12/2015 12:22:21 PM,1.681991,Normal
28/12/2015 12:23:21 PM,1.762086,Normal
28/12/2015 12:24:21 PM,1.810143,Normal
28/12/2015 12:25:21 PM,1.762086,Normal
28/12/2015 12:26:21 PM,1.681991,Normal
28/12/2015 12:27:21 PM,1.746067,Normal
28/12/2015 12:28:21 PM,1.681991,Normal
28/12/2015 12:29:21 PM,1.826162,Normal
28/12/2015 12:30:21 PM,1.762086,Normal
28/12/2015 12:31:21 PM,1.665972,Normal
28/12/2015 12:32:21 PM,1.681991,Normal
28/12/2015 12:33:21 PM,1.665972,Normal
28/12/2015 12:34:21 PM,1.746067,Normal
28/12/2015 12:35:21 PM,1.69801,Normal
28/12/2015 12:36:21 PM,1.746067,Normal
28/12/2015 12:37:21 PM,1.778105,Normal
28/12/2015 12:38:21 PM,1.762086,Normal
28/12/2015 12:39:21 PM,1.730048,Normal
28/12/2015 12:40:21 PM,1.746067,Normal
28/12/2015 12:41:21 PM,1.730048,Normal
28/12/2015 12:42:21 PM,1.730048,Normal
28/12/2015 12:43:21 PM,1.778105,Normal
28/12/2015 12:44:21 PM,1.778105,Normal
28/12/2015 12:45:21 PM,1.778105,Normal
28/12/2015 12:46:21 PM,1.730048,Normal
28/12/2015 12:47:21 PM,1.730048,Normal
28/12/2015 12:48:21 PM,1.69801,Normal
28/12/2015 12:49:21 PM,1.746067,Normal
28/12/2015 12:50:21 PM,1.730048,Normal
28/12/2015 12:51:21 PM,1.746067,Normal
28/12/2015 12:52:21 PM,1.746067,Normal
28/12/2015 12:53:21 PM,1.778105,Normal
28/12/2015 12:54:21 PM,1.69801,Normal
28/12/2015 12:55:21 PM,1.762086,Normal
28/12/2015 12:56:21 PM,1.762086,Normal
28/12/2015 12:57:21 PM,1.746067,Normal
28/12/2015 12:58:21 PM,1.778105,Normal
28/12/2015 12:59:21 PM,1.778105,Normal
28/12/2015 1:00:21 PM,1.778105,Normal
28/12/2015 1:01:21 PM,1.746067,Normal
28/12/2015 1:02:21 PM,1.746067,Normal
28/12/2015 1:03:21 PM,1.746067,Normal
28/12/2015 1:04:21 PM,1.778105,Normal
28/12/2015 1:05:21 PM,1.746067,Normal
28/12/2015 1:06:21 PM,1.810143,Normal
28/12/2015 1:07:21 PM,1.762086,Normal
28/12/2015 1:08:21 PM,1.762086,Normal
28/12/2015 1:09:21 PM,1.762086,Normal
28/12/2015 1:26:25 PM,1.665972,Normal
28/12/2015 1:27:25 PM,1.762086,Normal
28/12/2015 1:28:25 PM,1.730048,Normal
28/12/2015 1:29:25 PM,1.617916,Normal
28/12/2015 1:30:25 PM,1.601897,Normal
28/12/2015 1:31:25 PM,1.585878,Normal
28/12/2015 1:32:25 PM,1.601897,Normal
28/12/2015 1:33:25 PM,1.649953,Normal
28/12/2015 1:34:25 PM,1.601897,Normal
28/12/2015 1:35:25 PM,1.649953,Normal
28/12/2015 1:36:25 PM,1.665972,Normal
28/12/2015 1:37:25 PM,1.649953,Normal
28/12/2015 1:38:25 PM,1.69801,Normal
28/12/2015 1:39:25 PM,1.69801,Normal
28/12/2015 1:40:25 PM,1.69801,Normal
28/12/2015 1:41:25 PM,1.69801,Normal
28/12/2015 1:42:25 PM,1.746067,Normal
28/12/2015 1:43:25 PM,1.810143,Normal
28/12/2015 1:44:25 PM,1.730048,Normal
28/12/2015 1:45:25 PM,1.730048,Normal
28/12/2015 1:46:25 PM,1.730048,Normal
28/12/2015 1:47:25 PM,1.681991,Normal
28/12/2015 1:48:25 PM,1.69801,Normal
28/12/2015 1:49:25 PM,1.730048,Normal
28/12/2015 1:50:25 PM,1.810143,Normal
